uid,Cond,ResponseRegion,LatentPOPRegion,JointMass,ResponseMass,PosteriorGivenResponse
ES,S4C2NR,Central,Central,0.718836061709792,0.745190698055139,0.964633701931426
ES,S4C2NR,Central,Shoulder,0.0263492091154231,0.745190698055139,0.0353590150604287
ES,S4C2NR,Central,Tail,5.42722992399509e-06,0.745190698055139,7.28300814564585e-06
ES,S4C2NR,Shoulder,Central,0.169932775296401,0.226642311394011,0.749783984513722
ES,S4C2NR,Shoulder,Shoulder,0.0559116411892705,0.226642311394011,0.246695512613573
ES,S4C2NR,Shoulder,Tail,0.000797894908339293,0.226642311394011,0.00352050287270577
ES,S4C2NR,Tail,Central,0.00105246914337994,0.0281669905508494,0.0373653387457185
ES,S4C2NR,Tail,Shoulder,0.00253280472907574,0.0281669905508494,0.0899210273991933
ES,S4C2NR,Tail,Tail,0.0245817166783937,0.0281669905508494,0.872713633855088
ES,S4C2R,Central,Central,0.72680663080579,0.753199526990526,0.964958958099468
ES,S4C2R,Central,Shoulder,0.0263893556257869,0.753199526990526,0.0350363412085876
ES,S4C2R,Central,Tail,3.54055894921975e-06,0.753199526990526,4.70069194462504e-06
ES,S4C2R,Shoulder,Central,0.171755241705273,0.227469550338128,0.755069157388157
ES,S4C2R,Shoulder,Shoulder,0.0551939930796747,0.227469550338128,0.242643435121888
ES,S4C2R,Shoulder,Tail,0.000520315553180128,0.227469550338128,0.00228740748995499
ES,S4C2R,Tail,Central,0.00106357952831177,0.0193309226713457,0.0550195945839833
ES,S4C2R,Tail,Shoulder,0.00227676101603679,0.0193309226713457,0.117778186522449
ES,S4C2R,Tail,Tail,0.0159905821269972,0.0193309226713457,0.827202218893568
ES,S4C4NR,Central,Central,0.670067402652475,0.696187942656609,0.962480619953772
ES,S4C4NR,Central,Shoulder,0.0261035690045736,0.696187942656609,0.0374950030087623
ES,S4C4NR,Central,Tail,1.69709995612675e-05,0.696187942656609,2.43770374656407e-05
ES,S4C4NR,Shoulder,Central,0.158781847192367,0.221580773938066,0.716586752408168
ES,S4C4NR,Shoulder,Shoulder,0.0603026370590111,0.221580773938066,0.272147425010197
ES,S4C4NR,Shoulder,Tail,0.00249628968668771,0.221580773938066,0.0112658225816354
ES,S4C4NR,Tail,Central,0.000984489232759957,0.0822312834053242,0.011972198316635
ES,S4C4NR,Tail,Shoulder,0.00409943170320703,0.0822312834053242,0.0498524592277202
ES,S4C4NR,Tail,Tail,0.0771473624693572,0.0822312834053242,0.938175342455645
ES,S6C2NR,Central,Central,0.710739222986489,0.737932104437018,0.963149886978727
ES,S6C2NR,Central,Shoulder,0.0271871217745798,0.737932104437018,0.0368423078642463
ES,S6C2NR,Central,Tail,5.75967594993562e-06,0.737932104437018,7.80515702637681e-06
ES,S6C2NR,Shoulder,Central,0.190201196626736,0.244158413210073,0.779007342512041
ES,S6C2NR,Shoulder,Shoulder,0.0535063736935037,0.244158413210073,0.219146139549437
ES,S6C2NR,Shoulder,Tail,0.000450842889833461,0.244158413210073,0.00184651793852198
ES,S6C2NR,Tail,Central,0.00227568578442111,0.0179094823529081,0.12706597206879
ES,S6C2NR,Tail,Shoulder,0.00282471424006535,0.0179094823529081,0.157721713246876
ES,S6C2NR,Tail,Tail,0.0128090823284216,0.0179094823529081,0.715212314684334
ES,S6C2R,Central,Central,0.714344292784338,0.741548748558052,0.963314002179069
ES,S6C2R,Central,Shoulder,0.0272004691827523,0.741548748558052,0.0366806217873658
ES,S6C2R,Central,Tail,3.98659096228985e-06,0.741548748558052,5.37603356494339e-06
ES,S6C2R,Shoulder,Central,0.191138723726382,0.244635534565551,0.781320359144988
ES,S6C2R,Shoulder,Shoulder,0.0531848761299605,0.244635534565551,0.217404541104021
ES,S6C2R,Shoulder,Tail,0.000311934709208087,0.244635534565551,0.00127509975099101
ES,S6C2R,Tail,Central,0.00228678164717615,0.0138157168763972,0.165520303262937
ES,S6C2R,Tail,Shoulder,0.00269926430649038,0.0138157168763972,0.195376347868116
ES,S6C2R,Tail,Tail,0.0088296709227307,0.0138157168763972,0.639103348868947
ES,S6C4NR,Central,Central,0.651679003017299,0.678682267591699,0.960212214369146
ES,S6C4NR,Central,Shoulder,0.0269684572529775,0.678682267591699,0.0397364990081072
ES,S6C4NR,Central,Tail,3.48073214232449e-05,0.678682267591699,5.12866227472813e-05
ES,S6C4NR,Shoulder,Central,0.174842116265732,0.236341950898212,0.7397845181579
ES,S6C4NR,Shoulder,Shoulder,0.0587733221541825,0.236341950898212,0.248679178329602
ES,S6C4NR,Shoulder,Tail,0.00272651247829783,0.236341950898212,0.0115363035124987
ES,S6C4NR,Tail,Central,0.00209390730805102,0.0849757815100879,0.0246412244858547
ES,S6C4NR,Tail,Shoulder,0.00487990348396838,0.0849757815100879,0.0574269915174485
ES,S6C4NR,Tail,Tail,0.0780019707180685,0.0849757815100879,0.917931783996697
ES,S6C4R,Central,Central,0.575669114028519,0.602428343654989,0.955581058048964
ES,S6C4R,Central,Shoulder,0.0266870382873616,0.602428343654989,0.0442991080490151
ES,S6C4R,Central,Tail,7.21913391083034e-05,0.602428343654989,0.00011983390202113
ES,S6C4R,Shoulder,Central,0.155075139545722,0.226282245178873,0.685317309907091
ES,S6C4R,Shoulder,Shoulder,0.065551830057043,0.226282245178873,0.289690558820579
ES,S6C4R,Shoulder,Tail,0.00565527557610809,0.226282245178873,0.0249921312723306
ES,S6C4R,Tail,Central,0.0018599602991058,0.171289411166138,0.0108585830638519
ES,S6C4R,Tail,Shoulder,0.00752491067089549,0.171289411166138,0.0439309740144818
ES,S6C4R,Tail,Tail,0.161904540196137,0.171289411166138,0.945210442921666
ES,S6C6NR,Central,Central,0.461540926100139,0.487933739372513,0.9459090217735
ES,S6C6NR,Central,Shoulder,0.0262644901555104,0.487933739372513,0.0538279853106425
ES,S6C6NR,Central,Tail,0.000128323116863011,0.487933739372513,0.000262992915857871
ES,S6C6NR,Shoulder,Central,0.125395195739855,0.211177684441909,0.593789992873744
ES,S6C6NR,Shoulder,Shoulder,0.0757297007802308,0.211177684441909,0.358606549647355
ES,S6C6NR,Shoulder,Tail,0.0100527879218231,0.211177684441909,0.0476034574789005
ES,S6C6NR,Tail,Central,0.00150869089775034,0.300888576185579,0.00501411823897171
ES,S6C6NR,Tail,Shoulder,0.0114963659817445,0.300888576185579,0.0382080507259068
ES,S6C6NR,Tail,Tail,0.287883519306084,0.300888576185579,0.956777831035121
