uid,Cond,ErrorRegion,Stage,nObs,ModelMass,MeanRT,Q10RT,MedianRT,Q90RT
ES,S6C4R,Tail,H0a POPCDM,NaN,1.35419176399723,1.48915386674251,1.21439999814725,1.44439999814725,1.80439999814725
ES,S6C6NR,Central,Observed,223,NaN,1.41402466369637,1.2320000002861,1.38259999990463,1.63943999996185
ES,S6C6NR,Central,H0a POPCDM,NaN,3.85754056095004,1.47091761669335,1.21439999814725,1.43439999814725,1.76439999814725
ES,S6C6NR,Shoulder,Observed,123,NaN,1.4826715446885,1.23093999996185,1.42120000076294,1.70351999969482
ES,S6C6NR,Shoulder,H0a POPCDM,NaN,1.66954325468411,1.50526477028256,1.22439999814725,1.45439999814725,1.83439999814725
ES,S6C6NR,Tail,Observed,153,NaN,1.60897973854713,1.29240000019073,1.55639999961853,1.9604200000763
ES,S6C6NR,Tail,H0a POPCDM,NaN,2.37878587460469,1.48544896659047,1.21439999814725,1.44439999814725,1.79439999814725
HC,S2C2NR,Central,Observed,329,NaN,1.06780577510613,0.885779999923706,1.04119999980927,1.29736000013351
HC,S2C2NR,Central,H0a POPCDM,NaN,5.2067160520098,1.06769814499821,0.873406964219562,1.04340696421956,1.28340696421956
HC,S2C2NR,Shoulder,Observed,152,NaN,1.07824013153817,0.858590000247956,1.03030000019073,1.33577999997139
HC,S2C2NR,Shoulder,H0a POPCDM,NaN,2.49388673589129,1.07298718879766,0.883406964219562,1.04340696421956,1.29340696421956
HC,S2C2NR,Tail,Observed,18,NaN,1.10596666664547,0.924760000705719,1.06884999990463,1.26895000004768
HC,S2C2NR,Tail,H0a POPCDM,NaN,0.22310011298086,1.07808257069474,0.883406964219562,1.05340696421956,1.30340696421956
HC,S4C2NR,Central,Observed,285,NaN,1.11691859647684,0.903300000190735,1.08180000019073,1.39159999990463
HC,S4C2NR,Central,H0a POPCDM,NaN,5.09324785138973,1.1144063092649,0.903406964219562,1.08340696421956,1.36340696421956
HC,S4C2NR,Shoulder,Observed,174,NaN,1.13241609192717,0.912529999828338,1.07920000004768,1.42502999982834
HC,S4C2NR,Shoulder,H0a POPCDM,NaN,2.49042974542883,1.12129783339091,0.903406964219562,1.08340696421956,1.37340696421956
HC,S4C2NR,Tail,Observed,40,NaN,1.25763749998808,0.942049999713898,1.20590000033378,1.67445000004768
HC,S4C2NR,Tail,H0a POPCDM,NaN,0.343970191920671,1.12452358454254,0.903406964219562,1.09340696421956,1.37340696421956
HC,S4C2R,Central,Observed,337,NaN,1.08336172106712,0.883659999847412,1.05260000038147,1.31583999958038
HC,S4C2R,Central,H0a POPCDM,NaN,5.18649656367867,1.11439767903891,0.903406964219562,1.08340696421956,1.36340696421956
HC,S4C2R,Shoulder,Observed,148,NaN,1.08766621619302,0.877040000104904,1.05369999980927,1.30609000029564
HC,S4C2R,Shoulder,H0a POPCDM,NaN,2.51692688382957,1.12134468611146,0.903406964219562,1.08340696421956,1.37340696421956
HC,S4C2R,Tail,Observed,15,NaN,1.05517999995549,0.887,1.05530000019073,1.18439999961853
HC,S4C2R,Tail,H0a POPCDM,NaN,0.224224341230987,1.12878597562151,0.913406964219562,1.09340696421956,1.38340696421956
HC,S4C4NR,Central,Observed,281,NaN,1.11958647686052,0.924420000457764,1.0797999997139,1.37461999969483
HC,S4C4NR,Central,H0a POPCDM,NaN,5.08262408789307,1.11440731259496,0.903406964219562,1.08340696421956,1.36340696421956
HC,S4C4NR,Shoulder,Observed,172,NaN,1.15221744184161,0.930410000514985,1.11125,1.43433000016212
HC,S4C4NR,Shoulder,H0a POPCDM,NaN,2.48741094415214,1.12129243215155,0.903406964219562,1.08340696421956,1.37340696421956
HC,S4C4NR,Tail,Observed,46,NaN,1.24444130436234,0.974760000324249,1.15735000038147,1.68018000001907
HC,S4C4NR,Tail,H0a POPCDM,NaN,0.357612756694022,1.1242191046629,0.903406964219562,1.09340696421956,1.37340696421956
HC,S6C2NR,Central,Observed,288,NaN,1.1360111110972,0.921040000057221,1.10560000038147,1.38809000029564
HC,S6C2NR,Central,H0a POPCDM,NaN,5.07323385923578,1.17192618862059,0.933406964219562,1.13340696421956,1.45340696421956
