CueType,DurationF,Session_z,kappa,gamma,beta,p_target,log_kappa,circSD_deg,ID,SessionSlice
NR,350ms,1.3925220292164502,4.586446194080964,0.050371250887692155,0.1775459962109752,0.7720827529013327,1.5231054745308248,28.606220391525532,HC,late
R,50ms,1.3925220292164502,7.734989337422623,5.370376065253868e-47,0.015472571003434403,0.9845274289965656,2.045754105539609,21.351381737951794,HC,late
R,100ms,1.3925220292164502,14.22289468903365,0.0449638487492433,0.004527105672333137,0.9505090455784235,2.654852968288279,15.475998262225856,HC,late
R,150ms,1.3925220292164502,10.12851236893632,5.972685904431412e-5,6.403134543221075e-75,0.9999402731409557,2.315354453472175,18.488010316530882,HC,late
R,200ms,1.3925220292164502,10.33209447848869,0.017057640736703867,9.519104343822114e-5,0.9828471682198578,2.3352550194512407,18.29459392501942,HC,late
R,250ms,1.3925220292164502,14.035236856472743,0.018959939903515046,2.5487271186940927e-5,0.981014572825298,2.6415710858006043,15.583182446014227,HC,late
R,300ms,1.3925220292164502,10.518376698421166,0.040370746662915,0.007244274292262345,0.9523849790448227,2.3531238891694026,18.122852124626785,HC,late
R,350ms,1.3925220292164502,9.250750450922464,0.001698154006536663,3.163200225983197e-5,0.9982702139912035,2.2247046780629427,19.39868747303191,HC,late
NR,50ms,1.3925220292164502,6.213078435268379,1.7666095340734257e-15,0.14788824461271477,0.8521117553872835,1.826656495381136,24.068621240979983,YILIU,late
NR,100ms,1.3925220292164502,4.161331765674151,0.18099479304826194,0.057233660546953,0.7617715464047851,1.4258351590199465,30.306518168411497,YILIU,late
NR,150ms,1.3925220292164502,5.440951683461373,0.029602121293640603,0.17737146599888373,0.7930264127074756,1.693953987380069,25.9253699140223,YILIU,late
NR,200ms,1.3925220292164502,12.471037281926487,0.24571704442214257,0.11993556452795781,0.6343473910498996,2.5234089384238767,16.573010065802904,YILIU,late
NR,250ms,1.3925220292164502,25.732344859809153,0.17450128766210055,0.14445136650203313,0.6810473458358662,3.247748755441272,11.40821369345579,YILIU,late
NR,300ms,1.3925220292164502,8.1523840576881,0.11338195833712852,0.1273841130317616,0.75923392863110994,2.098310406892149,20.755174179217814,YILIU,late
NR,350ms,1.3925220292164502,6.865683630553777,0.10851674284121464,0.11267330272240152,0.7788099544363839,1.9265356162800045,22.78076463405776,YILIU,late
R,50ms,1.3925220292164502,36.756679063442576,0.02244695163267888,0.013323520344993732,0.9642295280223274,3.604319952368474,9.516208352184478,YILIU,late
R,100ms,1.3925220292164502,31.072822295286713,0.04031188365097297,6.708493409596681e-7,0.9596874454996861,3.4363335559479404,10.363460489438143,YILIU,late
R,150ms,1.3925220292164502,39.75844418012064,0.0446854202883752,3.997116227468224e-6,0.9553105825953974,3.682822250744108,9.145051460657703,YILIU,late
R,200ms,1.3925220292164502,64.06576704066944,0.05753074272165585,4.5037003219354465e-90,0.9424692572783442,4.159910165740399,7.186581356735918,YILIU,late
R,250ms,1.3925220292164502,48.83135624747397,0.0017173986248642875,0.0320298193148952,0.9662527820602405,3.8883726525695654,8.241910324639871,YILIU,late
R,300ms,1.3925220292164502,41.03107034288185,5.6092110794343044e-5,2.6742435795806407e-27,0.9999439078892056,3.714329592949858,9.000295719852922,YILIU,late
R,350ms,1.3925220292164502,52.832956576061896,0.008291380322268409,0.008524521005424189,0.9831840986723074,3.9671351735713434,7.920485640256772,YILIU,late
