index,r,g,b
345,254.99999999999997,133.08079985838359,239.6011510421368
346,254.99999999999997,132.64486909960002,237.03773814224294
347,254.99999999999997,132.2241519244727,234.45807272637478
348,254.99999999999997,131.8190577030351,231.86249336625173
349,254.99999999999997,131.43000197504153,229.25132390846576
350,254.99999999999997,131.05740563360544,226.6248725182279
351,254.99999999999997,130.70169404285647,223.9834306726848
352,254.99999999999997,130.36329609086596,221.3272720987013
353,254.99999999999997,130.04264317959579,218.65665164934558
354,254.99999999999997,129.7401681541928,215.97180411260678
355,254.99999999999997,129.45630417451923,213.27294294503085
356,254.99999999999997,129.19148353239564,210.56025892201518
357,254.99999999999997,128.9461364186448,207.8339186954128
358,254.99999999999997,128.72068964462593,205.09406324783666
359,254.99999999999997,128.51556532355858,202.34080623161591
