index,r,g,b
246,0,213.985029648373,255
247,0,213.066169804605,255
248,0,212.142355355106,255
249,24.6459753531053,211.213873653362,255
250,40.6039963854756,210.281011516978,255
251,51.9273262702179,209.344055010122,255
252,61.1418530673717,208.403289225344,255
253,69.0944650718036,207.458998065163,255
254,76.1890239682134,206.51146402385,255
255,82.6541928099771,205.560967969867,255
256,88.6337231037451,204.607788929411,255
257,94.2246503297668,203.65220387155,255
258,99.495953299647,202.694487495454,255
259,104.498636356133,201.734912020227,255
260,109.271601603556,200.773746977887,255
261,113.845274253311,199.81125901002,255
262,118.243947652968,198.847711668694,255
263,122.487359261023,197.883365222178,255
264,126.591784149823,196.91847646608,255
265,130.570814581276,195.953298540483,255
266,134.435928873728,194.988080753678,255
267,138.1969149977,194.023068413129,255
268,141.862191647329,193.058502664269,255
269,145.43905545246,192.094620337747,255
270,148.933874002576,191.131653805764,255
271,152.352238461813,190.169830848109,255
272,155.6990856062,189.209374528514,255
273,158.978796414393,188.250503081951,255
274,162.195276462871,187.293429813469,255
275,165.352022045059,186.338363009182,255
276,168.452174976661,185.385505859973,255
277,171.498568351783,184.435056398505,255
278,174.493764999329,183.487207450083,255
279,177.440090004463,182.542146597887,255
280,180.339658369423,181.600056163112,255
281,183.194398666418,180.661113200468,255
282,186.006073364794,179.725489509512,255
283,188.776296382168,178.793351662235,255
284,191.506548305563,177.864861047273,255
285,194.198189646698,176.94017393112,255
286,196.852472430639,176.019441536632,255
287,199.470550364944,175.102810139098,255
288,202.053487794587,174.190421180111,255
289,204.60226761403,173.2824113994,255
290,207.11779828016,172.378912984763,255
291,209.600920047213,171.480053740175,255
292,212.052410526141,170.58595727209,255
293,214.472989655511,169.696743193905,255
294,216.863324158186,168.812527348501,255
295,219.224031547384,167.933422048704,255
296,221.555683736727,167.059536335466,255
297,223.858810301372,166.190976253488,255
298,226.133901430934,165.32784514395,255
299,228.381410609534,164.470243953959,255
300,230.601757053687,163.618271562242,255
301,232.79532793483,162.772025120566,255
302,234.962480409957,161.931600410277,255
303,237.103543480885,161.097092213311,255
304,239.218819700262,160.26859469693,255
305,241.308586740204,159.446201811408,255
306,243.373098837648,158.630007699772,255
307,245.412588128841,157.8201071187,255
308,247.427265884016,157.016595869527,255
309,249.417323652032,156.219571238334,255
310,251.382934323718,155.429132443941,255
311,253.324253121682,154.645381092603,255
312,255,153.86842163814,255
313,255,153.098361846123,255
314,255,152.335313260719,255
315,255,151.579391672676,255
316,255,150.830717586906,255
317,255,150.089416688008,255
318,255,149.355620302047,255
319,255,148.629465852778,255
320,255,147.911097310503,255
321,255,147.200665631597,255
322,255,146.498329186751,255
323,255,145.804254175832,255
324,255,145.118615027254,255
325,255,144.441594779649,255
326,255,143.773385443577,255
327,255,143.114188340939,255
328,255,142.464214419726,255
329,255,141.82368454164,255
